,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,matmul_lab_omp_physical,"[-0.05232957223308321, -0.0508221598216434, -0.014290844448121787, -0.14194206675756882, -0.12350168691823571, -0.07156253151597824, -0.054352389643434584, -0.0719792514146278, -0.1137314637929634, -0.06185566634137607]","[214767933461.6062, 230312101275.6005, 119000638672.73242, 218137640608.70123, 224945198653.92224, 207944468129.55554, 209390147776.08334, 212623876519.0378, 236719123931.32547, 175879481441.09955]","[0.6708528755047687, 0.660419901248563, 0.7267090506901579, 0.6689520810182336, 0.5986550325970196, 0.7112408506404364, 0.6947365779623519, 0.7086215902524876, 0.6533715198542647, 0.6111520752000442]","[248629.7669836338, 248877.505896151, 199338.15640115508, 271940.97683839954, 264827.8505383963, 262606.9909747429, 253515.90954285054, 250234.1402223421, 277934.9675000678, 228032.18153645302]"
1,best_lr,matmul_lab_omp_physical,"[0.8061989011979342, 0.7863075036917528, 0.7006588052127496, 0.8057571502958454, 0.7776027328394166, 0.7858027836808583, 0.8220302016190537, 0.7774760993857226, 0.8177957795986501, 0.7192590096946558]","[39552496281.164276, 46835677561.21011, 35119900328.11892, 37104926924.95777, 44527923744.15692, 41566520769.72246, 35344086805.046814, 44136949763.07369, 38726771068.41217, 46500274339.818436]","[0.361691736119413, 0.3511100986009809, 0.5287362354998739, 0.4313844130132657, 0.34667591937338604, 0.45143772382756225, 0.36057233860253113, 0.5147056844944685, 0.36502291680100385, 0.3485509343870954]","[121650.41248285715, 121638.92791880951, 131071.54503321428, 129502.46052857145, 119123.76402607141, 131411.12941190478, 108768.53372690479, 131242.54872845238, 123835.38029547619, 118896.82469535712]"
2,best_rr,matmul_lab_omp_physical,"[0.8044127143102029, 0.7963907217547983, 0.7002272951622825, 0.8069736096884499, 0.7785265502964035, 0.7857550111675579, 0.8256733739736476, 0.7661058852618053, 0.8216561309138356, 0.719238789814368]","[39917035753.185616, 44625705951.82357, 35170526804.61759, 36872554732.42397, 44342958911.61456, 41575791371.836, 34620567415.13949, 46392197708.114105, 37906268989.49479, 46503623440.99345]","[0.3746259315418224, 0.34850456463702595, 0.5334448778182345, 0.4327262805682442, 0.3486369878814715, 0.45166670756105226, 0.35633272247821907, 0.5041044288655594, 0.37400053144443796, 0.3464659604494809]","[120800.57173551674, 119014.83371177701, 130895.77556040196, 129528.26430016514, 117852.06815338605, 131431.08518845198, 107467.953783169, 130987.84338045453, 123992.32017645401, 119689.83634754093]"
3,best_knn,matmul_lab_omp_physical,"[0.9893243598951326, 0.9860860558772226, 0.996372733369162, 0.9848873105197016, 0.9793987503790362, 0.9899369419268311, 0.9962529835524049, 0.9776549877974003, 0.9857570567635583, 0.964708536583284]","[2178771008.8169937, 3049564265.4624305, 425565357.38116753, 2886877121.3978877, 4124739857.950904, 1952809282.9277272, 744142409.4905216, 4432066300.828331, 3027280053.3547955, 5845468910.493191]","[0.03521011601468934, 0.05062431080721314, 0.0337861921806765, 0.04822611238660587, 0.045080283605704194, 0.033396729286143616, 0.041259625749012686, 0.03784258452517989, 0.04450251624582868, 0.052418717362194646]","[15994.549551279753, 22850.73748781179, 11784.247742281741, 20567.651109946142, 21637.851878621506, 16144.157669841274, 13945.660252896258, 20537.043027258213, 21514.734732814628, 28123.29587416666]"
4,best_gpr,matmul_lab_omp_physical,"[0.9522311765765828, 0.8372067902936399, 0.8132275088136097, 0.7186955981971557, 0.6304649332315257, 0.7694733352091054, 0.6385490897187325, 0.8376877343547053, 0.820756818757185, 0.7616495642152591]","[9749047980.063164, 35679915816.80675, 21912892006.60288, 53735719427.824326, 73987551573.5424, 44735368482.70074, 71782698328.39255, 32194152155.9747, 38097414155.79735, 39478954038.56437]","[0.28930026667048747, 0.2620817064634651, 0.42781206518140424, 0.31073573240833413, 0.33651308468557406, 0.3567261486727012, 0.4312307749843579, 0.43483929925034287, 0.3207212311071128, 0.3354646052093545]","[62169.705698658225, 87185.3955636094, 87058.5750751292, 112609.11373826941, 128452.80757652258, 111191.56250070594, 124203.30382631028, 90622.51986148019, 106377.54769248258, 99851.54684575189]"
5,best_dt,matmul_lab_omp_physical,"[0.9824709911043137, 0.9754023270512353, 0.9915006866648959, 0.9640547000592601, 0.9737197767436568, 0.9886089571321784, 0.99053938303328, 0.9732402954042448, 0.9748655944479354, 0.967190827722295]","[3577461962.0048246, 5391151766.61437, 997173267.1089768, 6866392918.08288, 5261772287.394674, 2210514347.9018683, 1878840513.0701454, 5307707325.627186, 5342216374.6335535, 5434316912.953508]","[0.04139088561962105, 0.05784269398585725, 0.04475570033128541, 0.05307809864330698, 0.04827571450720036, 0.04090159674596483, 0.04493497544773997, 0.04668718839496382, 0.0491866269468929, 0.05000030035626996]","[17262.356506454074, 26902.89877039792, 16604.097104241486, 26902.235219849696, 24795.218079642866, 18846.718425593193, 16764.134049661618, 23088.046009051137, 25390.243994248776, 26372.82002843144]"
6,best_rf,matmul_lab_omp_physical,"[0.9925189044785663, 0.9940622615192807, 0.9958369546011915, 0.9922722789893078, 0.9924017185319739, 0.9978234040043521, 0.9972630644501738, 0.9945389358412504, 0.9936338557914214, 0.9943395416698925]","[1526802503.2858539, 1301393402.810976, 488425054.79910076, 1476175436.2382674, 1521312298.9978569, 422384213.0870245, 543544402.100274, 1083185733.1382306, 1353098236.7535465, 937564781.5191859]","[0.042588046072424, 0.029461405016362397, 0.0316468703681683, 0.03497319290501461, 0.03538458269472319, 0.02223105603313352, 0.0321050769043992, 0.02516353277712297, 0.031600378877238516, 0.025806078809392213]","[17438.602726160334, 13453.511649220447, 12010.355398816986, 16196.395963772855, 17186.44689475896, 10424.259883576608, 11242.534605579722, 12019.21366494119, 15609.93334198092, 11146.25287142628]"
7,best_etr,matmul_lab_omp_physical,"[0.9910378955622203, 0.9932292876246911, 0.9965915861059466, 0.9914687025295084, 0.9989639668188064, 0.9982145881153865, 0.9996431041939025, 0.9985345574544845, 0.9942485337705891, 0.9997324631163739]","[1829058785.7229774, 1483958993.1704426, 399888683.28400177, 1629677332.781107, 207432434.2092455, 346472103.88448817, 70878072.94173367, 290666143.427917, 1222450915.151526, 44313224.339289606]","[0.0317540658496618, 0.006580554137916007, 0.009969403382059549, 0.012706520905663115, 0.011910775593970604, 0.005214105433241727, 0.008338604146330966, 0.0048885174110130354, 0.007810449534121131, 0.004517975837235172]","[14485.333519370159, 6864.285420273658, 4776.285938484432, 8389.586280340036, 3448.344978128121, 3903.200471622654, 2436.7769664636885, 2956.7348896457356, 5774.240975379141, 1273.3515149608734]"
8,best_gbr,matmul_lab_omp_physical,"[0.9936096175898788, 0.9871896234794694, 0.9867450334987823, 0.995295217083643, 0.9557257061340931, 0.9925564715632972, 0.9716921753415763, 0.9422676266500918, 0.9672585332419157, 0.8965533956364542]","[1304200946.6090956, 2807691774.4823575, 1555125423.703117, 898723564.7289013, 8864508122.143436, 1444470589.6795337, 5621820225.068541, 11451043484.379864, 6959066506.754561, 17134282661.023897]","[0.03917212624965853, 0.04526565173156862, 0.05466381692861682, 0.0561506743224477, 0.04554855926361307, 0.04345906081934811, 0.04636313861494512, 0.0659510454860183, 0.05166316550198659, 0.06666386692859436]","[18011.71583204625, 22270.949641598178, 21809.07235142793, 19409.673458821944, 28036.50213686161, 20815.97953269551, 24102.066634812985, 33226.898298995045, 28851.09115084081, 42140.23734174824]"
9,best_xgb,matmul_lab_omp_physical,"[0.9971378039200286, 0.9974850881136706, 0.9948418002475296, 0.9896695924815104, 0.977931196152439, 0.9937068454369012, 0.9962101788591894, 0.9885052188270061, 0.9940248667359368, 0.9554111584416504]","[584140133.9249122, 551201395.6403391, 605180524.2109828, 1973349426.5678072, 4418570548.978036, 1221232209.966585, 752643249.556851, 2279955446.446115, 1269990439.9081452, 7385431542.087441]","[0.046106635776631114, 0.052371141061186254, 0.059157004978749865, 0.05985667517596735, 0.0684675035261016, 0.05794791328785746, 0.058691120368946734, 0.04858046498513206, 0.04703532339387878, 0.06950744022074984]","[16660.691879583334, 17156.27793720238, 17122.243673541667, 21773.233432886904, 32952.22197145833, 19983.616952946435, 17414.629115089287, 21067.446250476194, 17826.30223007441, 30683.490275788692]"
10,dnn_1,matmul_lab_omp_physical,"[-0.08500364458521803, -0.07641110291706554, -0.01389464162658971, -0.24093679811814472, -0.18839339260159704, -0.2039423167878902, -0.07693933148861909, -0.09874682924733036, -0.24726421850268454, -0.09211203898331721]","[221436322511.9604, 235920512935.5989, 118954154580.85254, 237047949424.1069, 237937682595.78027, 233633723987.10043, 213875823663.22427, 217933145477.6521, 265100971565.7368, 180890967746.84995]","[0.5802003, 0.5312238, 0.58496714, 0.6345964, 0.53304005, 0.65618026, 0.5699428, 0.5902367, 0.6512236, 0.52009577]","[243538.0722091071, 238695.1229079762, 188506.45682035718, 280615.0086755953, 267011.9135682738, 272848.4533395833, 239979.0300716071, 243382.73591202378, 290976.6380747619, 221985.2420992858]"
11,dnn_2,matmul_lab_omp_physical,"[0.9875195967223307, 0.9325259143441784, 0.8848138473920739, 0.950189614560159, 0.9395820966367134, 0.9777483980285865, 0.9683866595138303, 0.9728099148531163, 0.9622294352181142, 0.900874537999372]","[2547101679.395546, 14788514216.030378, 13514097856.277271, 9514948502.167429, 12096748436.21044, 4318084480.268299, 6278282385.582046, 5393072019.989141, 8027980977.66722, 16418554241.320938]","[0.08493851, 0.25722197, 0.2715544, 0.10433809, 0.09422019, 0.07716521, 0.13663629, 0.11808082, 0.1514316, 0.12314179]","[30194.433792857144, 91009.67325139881, 71255.12025979169, 52676.106177678565, 53778.58457020832, 34490.57947294643, 48340.635021011905, 40619.40629505952, 49428.21185002976, 61896.04101238095]"
12,dnn_3,matmul_lab_omp_physical,"[0.6854163899017647, 0.7121679300441501, 0.6325369040735451, 0.6727018646914131, 0.6439250187083422, 0.6745829851396428, 0.7353113914480862, 0.705146848405492, 0.7369810411084459, 0.5583595615715828]","[64202768433.39065, 63085088400.96125, 43112232889.867386, 62521598153.01713, 71292600923.50249, 63149527988.54525, 52566094034.34306, 58483240242.894424, 55903617299.360146, 73150705652.71907]","[0.29703623, 0.21965234, 0.28792134, 0.30137637, 0.4258609, 0.36342195, 0.21953002, 0.21405597, 0.21933149, 0.41906437]","[134167.99824541667, 116870.29076467264, 118943.50608032738, 145649.94420565479, 157275.3722727381, 145759.77466860117, 109661.92588526786, 108485.72887497023, 116802.22446297618, 160411.00657443452]"
13,dnn_4,matmul_lab_omp_physical,"[0.7490261794305444, 0.8027400401390679, -1.221453981266607, 0.7303117453345915, -1.0882168816390378, 0.7993115658082051, -0.9710282190113053, 0.7343232897389435, -1.0524099320054772, 0.6221221819211171]","[51220767921.864716, 43234105246.52715, 260629822303.72623, 51516763665.27974, 418098492189.4051, 38945043784.54356, 391438283920.5979, 52696180417.65789, 436231440743.96356, 62589442989.74203]","[0.21772917, 0.22273172, 0.9999912, 0.26030546, 0.9999927, 0.21633416, 0.9999917, 0.20156758, 0.9999921, 0.36093462]","[109698.22007065474, 103551.30334693455, 378557.58132435405, 124257.90558154762, 466776.764054051, 107466.02980127974, 439138.13580488425, 99495.33512392857, 472953.99358297954, 145406.3477220536]"
