,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_npb_ep,"[0.7256993876089188, 0.8380692314329017, 0.7817361465275741, 0.9290185863004489, 0.7457931506804834, 0.8607091466057646, 0.7646291755849463, 0.8160530879846165, 0.7720544775434243, 0.7239852740806144]","[110.13183716250391, 33.878355916623654, 50.48654754985089, 4.460916242673087, 30.083193230052892, 31.246969936822413, 24.83633055940452, 68.52844046371882, 86.66814881313522, 68.91692389248364]","[0.15921506417969722, 0.16370206916140687, 0.09342930080472539, 0.09873075174327019, 0.1129099708606698, 0.1329623188703816, 0.11758762548953565, 0.11293938314587187, 0.10320472312981516, 0.19708400594412348]","[5.860286112053362, 3.5169901008628, 2.8877032049506393, 1.508713550296045, 2.730714618665093, 2.6343530128482686, 2.323036926441412, 4.043267699674249, 3.886081351267502, 4.3831046040021056]"
1,best_lr,runtimes_final_npb_ep,"[0.3343679107123074, 0.4405278078976377, 0.36766422294762524, 0.1259485756935761, 0.3771203707387428, 0.4672442621736941, 0.36546742334842197, 0.3343373796281264, 0.38455987480566267, 0.5325513641668043]","[267.25162670454546, 117.05000981109787, 146.265402024801, 54.93086136779394, 73.71244439829297, 119.51253164062504, 66.95588063471702, 247.98905700174012, 233.99914058885997, 116.71522942138449]","[0.8024707457591265, 0.44091861929732074, 0.6193145126175883, 0.7565292297738021, 0.6285955003414152, 0.6498463741879975, 0.4618517897279146, 0.699997226052541, 0.49418558148577785, 0.7008366875377064]","[11.086136363636363, 7.416353236850285, 8.11153713199743, 6.426539579520224, 6.616584312146818, 6.787954545454547, 5.852479169256324, 10.703502027118162, 9.348532545068743, 7.64401681802224]"
2,best_rr,runtimes_final_npb_ep,"[0.32715857038203877, 0.4250993868702836, 0.3860413357539989, 0.10895076629465172, 0.35767608511089, 0.4558700239225697, 0.438657666173796, 0.32999559152115254, 0.3778701881126849, 0.5605169637487134]","[270.1461805605544, 120.2778678853936, 142.01459748356638, 55.99911008369691, 76.01350828909243, 122.064102486998, 59.23284584885675, 249.60656699163303, 236.54265517766135, 109.73261973788159]","[0.798556132013076, 0.4509217323120874, 0.6084474871234852, 0.7582127844425369, 0.635118975139661, 0.6653108645045586, 0.48846594007435357, 0.7133670837258406, 0.49960439792834, 0.7015598699984389]","[11.104994564080426, 7.609203218758861, 7.901445949140563, 6.450353757205217, 6.753533293017696, 7.038188854002342, 6.125870177988458, 10.917520267361438, 9.468169723621417, 7.568579067741198]"
3,best_knn,runtimes_final_npb_ep,"[0.4499542332507379, 0.6309188166353399, 0.55629976333389, 0.9463646137025381, 0.4909574386605291, 0.5976009160609728, 0.6672849515657755, 0.5970603766560244, 0.615169422361022, 0.6983623637103248]","[220.8436586688569, 77.21734295959598, 102.63217083333338, 3.3707833282828306, 60.24080694949496, 90.26976123737377, 35.10809356060605, 150.11300644444447, 146.31809131944448, 75.31459763257578]","[0.18930760859516038, 0.20190371173066798, 0.12509195206704715, 0.06163405577804204, 0.12288873780867822, 0.15313018677946932, 0.08519246585416722, 0.14868558549892466, 0.1199193439478215, 0.1355512226777402]","[8.01462012987013, 5.035666666666666, 4.057500000000001, 1.02419696969697, 3.397030303030303, 3.9691666666666667, 2.121590909090909, 5.802030303030304, 4.997916666666668, 4.0127651515151515]"
4,best_gpr,runtimes_final_npb_ep,"[0.3621312261271191, 0.726817369824398, 0.5223168310871279, 0.7042608092202968, 0.5077145960355488, 0.5873322404676617, 0.5988095210284863, 0.566737461340353, 0.4979046095274895, 0.7350286130169128]","[256.10464126509663, 57.15392113076696, 110.49275286496264, 18.586101501561327, 58.257741565345924, 92.57332238109815, 42.33362133044839, 161.4096467311952, 190.9038508451099, 66.15956032625833]","[0.458281736535291, 0.22909610405351646, 0.30883725801181566, 0.32130090163616193, 0.26874628177706517, 0.36650132434275573, 0.2940742854719176, 0.21822395460458618, 0.33270383647541, 0.27655305849959483]","[9.378117841747146, 4.56496375741095, 4.652927704726923, 3.398899867869454, 4.409736723859358, 4.898110351017897, 3.202734467177017, 6.286806757890185, 7.132003341921981, 4.397306974335698]"
5,best_dt,runtimes_final_npb_ep,"[0.7895852747202119, 0.7191304556306546, 0.9697688447736821, 0.8387387634740869, 0.6172442760693096, 0.5266313087997025, 0.9511725013085617, 0.8731436968735146, 0.8510963386076281, 0.9643325416586508]","[84.48162058080807, 58.76213936662544, 6.992759595959597, 10.134665285435716, 45.2958464090909, 106.19029823232322, 5.152277904040401, 47.259638778409105, 56.61530239898992, 8.905653507295176]","[0.19337381355579117, 0.15017531241327006, 0.10802309862717473, 0.14020140573994874, 0.17195286842983565, 0.15402833982807568, 0.10518230871779143, 0.14319586134666643, 0.13213562645633845, 0.11185439083966657]","[5.903257575757576, 4.070512987012987, 1.8446969696969708, 2.1080681818181817, 3.612772727272727, 4.266969696969697, 1.5000757575757573, 3.9753409090909098, 3.508712121212121, 1.7774747474747477]"
6,best_rf,runtimes_final_npb_ep,"[0.793298991867464, 0.8471242396350867, 0.8880739143859157, 0.9092582677532295, 0.9390067288648695, 0.8815742555662792, 0.9417931797365822, 0.8658707659951801, 0.9015312122843984, 0.9672245931271464]","[82.99056123331512, 31.983911806859226, 25.889589840573557, 5.702778321396978, 7.218028806866883, 26.56632209433667, 6.141983962824714, 49.969130366128745, 37.43924186451417, 8.183549676481213]","[0.15815336062165797, 0.10256937366269997, 0.07703038572096674, 0.06435113047684078, 0.11676801835385221, 0.09121031612657493, 0.07417407869652526, 0.1103010150080582, 0.07538199714808223, 0.055663766493000554]","[5.38988814935065, 2.7625485888294716, 1.9816945229606995, 1.1963997655122653, 1.7920367063492066, 2.010894512350396, 1.2440879509379512, 3.4824095556404386, 2.685454723707665, 1.3437970800441383]"
7,best_etr,runtimes_final_npb_ep,"[0.8711222474469899, 0.9888729281302814, 0.9169493436485752, 0.9909356160538748, 0.9363035733396335, 0.9129041694742411, 0.9983660047366091, 0.9433422914065854, 0.941990968422743, 0.9990559271086603]","[51.7444840327272, 2.327951040113643, 19.210422817272622, 0.5696626126136269, 7.537924003295464, 19.538115617386236, 0.17241918829546432, 21.10752699034076, 22.055863730340814, 0.23572147965909587]","[0.0943775409644458, 0.011497385618277357, 0.02194332649343103, 0.011710052981513104, 0.04290553810614443, 0.01996066166850373, 0.010595316289793268, 0.03464771928875498, 0.03336380329535744, 0.009614283111932761]","[3.5915454545454675, 0.4622477272727687, 1.05875454545457, 0.23797500000003183, 1.1542750000000195, 1.0825886363636579, 0.16806136363639837, 1.4452568181818404, 1.5671431818182107, 0.1803886363636692]"
8,best_gbr,runtimes_final_npb_ep,"[0.7459857297463485, 0.8411367113338861, 0.7573249365192221, 0.6483794268814141, 0.7874887669023447, 0.6153300082841311, 0.9695833713930073, 0.8718900762682368, 0.7759754884257655, 0.7603991766306335]","[101.98686034518317, 33.236592916471054, 56.13309733456711, 22.098037276660197, 25.14887583063544, 86.29261271537966, 3.209562801436127, 47.726668445129924, 85.17732437847934, 59.82489395709197]","[0.162572629631773, 0.16032281334873918, 0.15121716585806438, 0.1678758930669063, 0.1407305487305784, 0.1837435237433674, 0.09353949233818426, 0.14575322939490154, 0.1543114090682259, 0.14579076396838733]","[5.800600799460546, 3.622009650791479, 3.737045106428336, 2.9516988340711765, 2.950122365881482, 4.371884063182988, 1.1504910742331411, 3.8843950728218406, 4.550247863761291, 3.406262284031324]"
9,best_xgb,runtimes_final_npb_ep,"[0.8749752359473597, 0.8037385278303736, 0.8952255200882577, 0.921223794230257, 0.8976110482222804, 0.8422047627107028, 0.989550857315011, 0.9300056353750848, 0.8994209223822802, 0.9809195088207439]","[50.19750716522119, 41.06085622713524, 24.235354035584006, 4.950789756623653, 12.116851411348751, 35.39803882023228, 1.102593587933962, 26.07602702563001, 38.24160427683344, 4.764125370673363]","[0.08912270357220305, 0.09557236140164148, 0.10698115281298679, 0.09362626716402787, 0.09237388898125619, 0.08526368311283355, 0.08170102064333723, 0.0945494768614711, 0.07382887793600128, 0.09306075506134177]","[3.326508543708108, 2.7567156093770806, 2.28113001910123, 1.3848464103178542, 1.776875185099515, 2.2160918131741614, 0.8450166797637938, 2.4274155131253337, 2.60215238571167, 1.2254560115120627]"
10,dnn_1,runtimes_final_npb_ep,"[-39.243422538061154, -12.337397867205443, -8.37976871994582, -5.4104675611468, -0.9081347451528665, -26.041788488316, -52.48031661114239, -29.112443751491117, -63.304363103529894, -19.935142851028957]","[16157.754877720063, 2790.384532508244, 2169.6315351913017, 402.87389861931604, 225.81132806245103, 6066.255833330187, 5643.2432739993965, 11218.230228668179, 24449.438842793283, 5227.205330211345]","[15.159705, 3.5841398, 5.239116, 1.7435952, 1.6002502, 9.552176, 8.105506, 9.904377, 12.858064, 7.014572]","[92.68164238669657, 41.827100773101506, 41.28127660534599, 17.536150485385548, 11.67803184162487, 69.76086094466122, 61.71972156177869, 81.24494580875745, 128.65419101021507, 62.263893526250676]"
11,dnn_2,runtimes_final_npb_ep,"[-0.21461614880752067, -0.30063154143560067, -0.7637298961977512, 0.14486818021465242, 0.3170499654505712, -0.19508142994431799, 0.4761229894031963, -0.10458993792758142, -0.3963348733367802, -0.17410655548424026]","[487.6690093739176, 272.1117096340088, 407.96784191630104, 53.741835019709896, 80.82125997320408, 268.09135419562506, 55.27950475591195, 411.5090868813426, 530.9064959517975, 293.15759098159947]","[0.3380942, 0.3487396, 2.2716773, 0.3403619, 0.633464, 0.48915407, 0.28803003, 0.4283533, 0.4698478, 0.7395111]","[12.460594742948361, 9.181149913614446, 18.295056896209715, 4.747160478071733, 6.614062673395332, 8.106891674561934, 3.8269069784337817, 11.28038518818942, 12.691612599112771, 11.177541736255995]"
12,dnn_3,runtimes_final_npb_ep,"[-1.2989741450381147, -0.8620899286680448, -1.1591113572538552, -2.91577683435364, -1.7472462398417297, -0.8181663036225895, -1.6059038234291578, -0.43643284100461344, -0.9039323955208876, -0.9913254092423196]","[923.0393033944856, 389.5772613839994, 499.4234110193194, 246.09192142874466, 325.11295311251035, 407.8673254204484, 274.9749843700818, 535.13538958829, 723.9023359916546, 497.2054342999211]","[0.91129625, 0.5998974, 0.90293163, 0.9076635, 0.8999558, 0.8876404, 0.9032158, 0.64248365, 0.90016085, 0.8966963]","[22.83722374352542, 11.681759782487696, 16.374178027022968, 13.53682619268244, 14.379553465409714, 13.547633824348454, 13.017487446178087, 13.664083932313055, 18.538824913501738, 15.732760616432536]"
13,dnn_4,runtimes_final_npb_ep,"[-0.5071280546034751, -1.571254720077424, -1.1607021933639192, -2.91577683435364, -1.7472462398417297, -0.8166420224503941, -1.6056285338984444, -1.0217309486293593, -0.9034665246154467, -0.9913156744803142]","[605.1126902187993, 537.9452177612947, 499.7913868505759, 246.09192142874466, 325.11295311251035, 407.5253850359779, 274.9459358174359, 753.1850762203511, 723.7252052082756, 497.2030036692726]","[0.9423532, 0.91923136, 0.90412706, 0.9076635, 0.8999558, 0.8860417, 0.90309566, 0.9060877, 0.8996288, 0.8966877]","[16.309500947432085, 18.130917101773345, 16.38541064154018, 13.53682619268244, 14.379553465409714, 13.535008010864262, 13.016371647227892, 19.510008010864258, 18.534047005176543, 15.732683368812907]"
