,model_name,dataset_name,r2,mse,mape,mae
0,best_svr,runtimes_final_npb_ep,"[0.4888849990189925, 0.46655703857009156, 0.2846892900449076, 0.0693429794664433, 0.6612620241323321, 0.5833996722306461, 0.6989101723162099, 0.5906863617669352, 0.5621690844560455, 0.6320325229759618]","[137.4456663686697, 146.360143991822, 113.8302344183539, 67.87901898082781, 54.21884222898163, 118.90517812437129, 78.900390028048, 100.5132349082563, 138.41480912421446, 102.77756367724508]","[0.1871109608587691, 0.20702490873856833, 0.320152413556315, 0.31270883390628856, 0.24669775528145205, 0.29330286621012935, 0.16405532512042534, 0.20881456074378899, 0.20304470569263608, 0.19483912035240095]","[5.796104145673425, 6.206887540186425, 5.84330396264024, 5.06319501282355, 3.9769421790731316, 6.107055491373387, 4.127032569921229, 4.870383340064161, 5.510948612551321, 5.002427886686906]"
1,best_lr,runtimes_final_npb_ep,"[0.33705460892829353, 0.2547456019394727, 0.3250573116946329, -0.6806819318001665, 0.35220227620628697, 0.3227190667224197, 0.47098214611651945, 0.3858876747500164, 0.29025240122161255, 0.3572637878512267]","[178.2748909090909, 204.47460909090907, 107.40631079545456, 122.58333438885217, 103.6873485846946, 193.30808125575186, 138.62877840909093, 150.80469019886365, 224.3778932084517, 179.5236429753177]","[0.7170516010679081, 0.42085993159672924, 0.7799120848266834, 1.1040314577388173, 0.7277910427537438, 0.4440607203363618, 0.4162487628110547, 0.6154055216914557, 0.5329041738295026, 0.6125116943842822]","[8.639545454545456, 8.471818181818184, 7.644659090909091, 9.333595351855706, 7.315486622631457, 8.352062340655477, 7.106136363636363, 8.134374999999999, 8.869957386363636, 8.97454025912123]"
2,best_rr,runtimes_final_npb_ep,"[0.4138539403884133, 0.23547230805137886, 0.3442248493245751, -0.6584869823976305, 0.3413173504753674, 0.3271289270412546, 0.45377496716463506, 0.37598161788315587, 0.2849628246777489, 0.41591289463887116]","[157.62252252048097, 209.7626010087268, 104.35610440084332, 120.96450880807106, 105.42960399425479, 192.04942831728138, 143.1379082625642, 153.23727423190863, 226.0501271729199, 163.14227047949]","[0.6346515146595091, 0.4458014864500569, 0.7845042696715532, 1.0921769305994575, 0.7307968042937916, 0.4650549660577701, 0.4227333322831337, 0.6195393924156914, 0.5346332004760969, 0.5986279484973354]","[7.978589860237653, 8.36668822005892, 7.780967862728517, 9.130745000915097, 7.401277820529984, 8.516190994608799, 7.2976960131694195, 8.227081671468447, 8.931168429438337, 8.389029906964131]"
3,best_knn,runtimes_final_npb_ep,"[0.38089790468318785, 0.2500178661160234, 0.08302378780902464, 0.4720425063544299, 0.5875930896294557, 0.4256016719643514, 0.5302006278217756, 0.44446682266452975, 0.39629521708504645, 0.36501453933202144]","[166.48484172394868, 205.7717526393412, 145.92206678452496, 38.50745864646464, 66.01038797095963, 163.94354722455427, 123.11061447988463, 136.41968294507572, 190.85377328993056, 177.3587686220013]","[0.1734437727111797, 0.20426270522880727, 0.20478859365971464, 0.14917166646748278, 0.110288611134002, 0.23072971130942035, 0.18165209342744865, 0.1865763450465151, 0.16701837488853177, 0.1645093528135611]","[6.17024567099567, 7.118883841434348, 5.216490307672125, 3.231075757575758, 3.049954545454545, 6.83723538961039, 5.483619670733308, 5.431950757575757, 6.137107954545455, 5.919479166666667]"
4,best_gpr,runtimes_final_npb_ep,"[0.27210455676058054, 0.10935046312327512, 0.3223903477683767, 0.6374524980624876, 0.4809745076057099, 0.30566617583980804, 0.2754219891777159, 0.42187633550613457, 0.21905347934781116, 0.35125132589679964]","[195.74082946252204, 244.36650942793452, 107.83071535795594, 26.443005556826154, 83.07589727093112, 198.17528104599066, 189.8751880773129, 141.96712317268623, 246.8865485617823, 181.20299299933563]","[0.38074919403518276, 0.34804212315318517, 0.4916238392973468, 0.4108382905725222, 0.5828270275636169, 0.39495259316596876, 0.3741137391045887, 0.49191985255950493, 0.5049765095573995, 0.3503411752031862]","[6.915186307795275, 7.973531145768309, 5.622883538396089, 3.777075545606438, 5.350466813113183, 7.551175553520857, 7.446354530746273, 6.636908160693452, 8.131930121039812, 7.255536786978695]"
5,best_dt,runtimes_final_npb_ep,"[0.765505331012784, 0.7392544296214816, 0.9088412713206055, -0.1513532685464689, 0.826329534476193, 0.76008498896127, 0.8485000776100442, 0.6958017812512338, 0.5647312466456254, 0.8957388264045493]","[63.058755812268096, 71.54046821338386, 14.506450568181817, 83.97586720454547, 27.79792122790404, 68.47603139204547, 39.700454371843435, 74.70053319444443, 137.6048133522727, 29.12134924242425]","[0.17361172409933726, 0.19639192717039763, 0.12031265984837787, 0.23238482421308843, 0.13826562977096668, 0.18390291114664398, 0.16228201538751144, 0.19841615661318732, 0.18677375324247125, 0.12263100520549432]","[4.409163961038961, 5.046666666666668, 2.2335227272727267, 4.789431818181819, 2.698011363636364, 4.5880113636363635, 3.664715909090909, 4.4344166666666665, 5.461022727272726, 2.5732575757575757]"
6,best_rf,runtimes_final_npb_ep,"[0.8395255177959069, 0.9332808301768422, 0.9175180647704239, 0.9502301289107615, 0.9162768910502085, 0.9474399911845702, 0.8718680099241777, 0.910375969542752, 0.9604713918478267, 0.9100127917871319]","[43.15373663338907, 18.305663413679298, 13.12567796314916, 3.6300483957053653, 13.400830017482148, 15.001565754593578, 33.57690317810969, 22.008553796696777, 12.496478796001469, 25.13446595072687]","[0.1607447972908328, 0.11269573193910064, 0.10402422773664108, 0.07945180467625683, 0.11597660304482717, 0.11598103949962905, 0.1478813743096456, 0.12668821873503092, 0.08752665434534765, 0.11982698230753562]","[3.654268912337663, 2.322099756493506, 1.7947429112554119, 1.2600747564935069, 1.8384207251082254, 2.0400313852813863, 2.9871048971861467, 2.451154572510822, 1.6943492965367966, 2.48896047077922]"
7,best_etr,runtimes_final_npb_ep,"[0.8191845785446091, 0.9067946205758718, 0.8673431329536141, 0.9579522726920099, 0.8462642742254562, 0.9185474473502676, 0.8991856794139551, 0.8885022687408949, 0.9292645153386029, 0.9060835383330377]","[48.62368751448862, 25.57265488471579, 21.110214153011253, 3.0668209846022676, 24.607140783011246, 23.248014069886235, 26.418325972159188, 27.37997615267037, 22.36214543130671, 26.2319517947158]","[0.09939168397466253, 0.05249670565330527, 0.02732517721469924, 0.03273314695184715, 0.04385576426933765, 0.039298061139342255, 0.06155955529421339, 0.05881356918669672, 0.03468001546054663, 0.045954975337698455]","[3.1729761363636424, 1.7674034090909279, 1.01348750000002, 0.6730965909091137, 1.4625079545454716, 1.3876681818182026, 1.8814090909091215, 1.8108875000000224, 1.2304761363636614, 1.5717784090909281]"
8,best_gbr,runtimes_final_npb_ep,"[0.6094535062072745, 0.4722912883840473, 0.6819391643652306, 0.6954970621708041, 0.783261646172591, 0.6371580310027749, 0.6715565730634286, 0.6893428599658115, 0.5897121458955881, 0.6870394333867947]","[105.02318066239526, 144.78684433443038, 50.614284080656766, 22.209428651573305, 34.69142360267358, 103.56158187782017, 86.06838260460871, 76.28662027235883, 129.70741214400266, 87.4134986703027]","[0.17405089664382697, 0.18193618369472822, 0.14316690741375068, 0.14281856481783414, 0.12945878727233978, 0.22376734475813864, 0.16060000358743445, 0.17686693688155158, 0.1637028088466341, 0.14145867597503917]","[5.3192490155640835, 6.191021837365195, 3.2620049700850653, 2.7197063453510384, 2.953847636267886, 5.4904274481840885, 4.700531220643193, 4.22122916279793, 5.2536708345037715, 4.242785994629933]"
9,best_xgb,runtimes_final_npb_ep,"[0.9295569323453234, 0.7769270956292044, 0.9383301724050941, 0.6272931792408034, 0.8892392089928103, 0.8017352523163401, 0.9202890361954691, 0.858824873328023, 0.7309769370839316, 0.9225240055204396]","[18.94308395618793, 61.2042613082139, 9.813764611616579, 27.18399238646832, 17.728516672491665, 56.588301947186615, 20.888205297636826, 34.66771527975191, 85.04830193929257, 21.63993954161532]","[0.09508809555772889, 0.12594830298819926, 0.10968173846911991, 0.18068391592053648, 0.09915926337283519, 0.11327792891414636, 0.09859473138633237, 0.12675460947076556, 0.13337277566331887, 0.09496839704340915]","[2.4534109765833074, 3.7698065293918956, 1.7579875809496102, 3.222081577777862, 1.9457083543864164, 3.416454307382757, 2.1939257899197666, 3.158639596592296, 4.137155024788597, 2.0996796493096785]"
