arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
IntelCorei97900X_DDR42666_2GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,2,DDR4,2666,10,IntelCorei97900X_DDR42666_2GB_matmul50,50,458
IntelCorei97900X_DDR42666_3GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,3,DDR4,2666,10,IntelCorei97900X_DDR42666_3GB_matmul50,50,458
IntelCorei97900X_DDR42666_4GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,4,DDR4,2666,10,IntelCorei97900X_DDR42666_4GB_matmul50,50,458
IntelCorei97900X_DDR42666_6GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,6,DDR4,2666,10,IntelCorei97900X_DDR42666_6GB_matmul50,50,458
IntelCorei97900X_DDR42666_7GB,3.3,X86_64,8,64,1,32,16,64,1,1024,16,64,10,16,7,DDR4,2666,10,IntelCorei97900X_DDR42666_7GB_matmul50,50,458
IntelCorei97980X_DDR42666_2GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,2,DDR4,2666,18,IntelCorei97980X_DDR42666_2GB_matmul50,50,567
IntelCorei97980X_DDR42666_3GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,3,DDR4,2666,18,IntelCorei97980X_DDR42666_3GB_matmul50,50,567
IntelCorei97980X_DDR42666_4GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,4,DDR4,2666,18,IntelCorei97980X_DDR42666_4GB_matmul50,50,567
IntelCorei97980X_DDR42666_6GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,6,DDR4,2666,18,IntelCorei97980X_DDR42666_6GB_matmul50,50,567
IntelCorei97980X_DDR42666_7GB,2.6,X86_64,8,64,1,32,16,64,1,1024,24,64,18,24,7,DDR4,2666,18,IntelCorei97980X_DDR42666_7GB_matmul50,50,567
