arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
ARM_AppleA10_APL1W24_LPDDR31600_2GB,2.34,ARM,8,64,1,64,8,64,1,1024,16,64,4,4,2,LPDDR3,1600,4,ARM_AppleA10_APL1W24_LPDDR31600_2GB_montecarlocalcpi500000,500000,31509
ARM_AppleA10_APL1W24_LPDDR31600_3GB,2.34,ARM,8,64,1,64,8,64,1,1024,16,64,4,4,3,LPDDR3,1600,4,ARM_AppleA10_APL1W24_LPDDR31600_3GB_montecarlocalcpi500000,500000,31509
ARM_AppleA10_APL1W24_LPDDR31600_4GB,2.34,ARM,8,64,1,64,8,64,1,1024,16,64,4,4,4,LPDDR3,1600,4,ARM_AppleA10_APL1W24_LPDDR31600_4GB_montecarlocalcpi500000,500000,31509
ARM_AppleA10_APL1W24_LPDDR31600_6GB,2.34,ARM,8,64,1,64,8,64,1,1024,16,64,4,4,6,LPDDR3,1600,4,ARM_AppleA10_APL1W24_LPDDR31600_6GB_montecarlocalcpi500000,500000,31509
ARM_AppleA10_APL1W24_LPDDR31600_7GB,2.34,ARM,8,64,1,64,8,64,1,1024,16,64,4,4,7,LPDDR3,1600,4,ARM_AppleA10_APL1W24_LPDDR31600_7GB_montecarlocalcpi500000,500000,31509
ARM_AppleA9_APL0898_LPDDR31600_2GB,1.85,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,2,LPDDR3,1600,2,ARM_AppleA9_APL0898_LPDDR31600_2GB_montecarlocalcpi500000,500000,39921
ARM_AppleA9_APL0898_LPDDR31600_3GB,1.85,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,3,LPDDR3,1600,2,ARM_AppleA9_APL0898_LPDDR31600_3GB_montecarlocalcpi500000,500000,39921
ARM_AppleA9_APL0898_LPDDR31600_4GB,1.85,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,4,LPDDR3,1600,2,ARM_AppleA9_APL0898_LPDDR31600_4GB_montecarlocalcpi500000,500000,39921
ARM_AppleA9_APL0898_LPDDR31600_6GB,1.85,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,6,LPDDR3,1600,2,ARM_AppleA9_APL0898_LPDDR31600_6GB_montecarlocalcpi500000,500000,39921
ARM_AppleA9_APL0898_LPDDR31600_7GB,1.85,ARM,8,64,1,64,8,64,1,1024,16,64,2,4,7,LPDDR3,1600,2,ARM_AppleA9_APL0898_LPDDR31600_7GB_montecarlocalcpi500000,500000,39921
ARM_AppleA8X_APL1012_LPDDR31600_2GB,1.5,ARM,8,64,1,64,8,64,1,1024,16,64,3,4,2,LPDDR3,1600,3,ARM_AppleA8X_APL1012_LPDDR31600_2GB_montecarlocalcpi500000,500000,49218
ARM_AppleA8X_APL1012_LPDDR31600_3GB,1.5,ARM,8,64,1,64,8,64,1,1024,16,64,3,4,3,LPDDR3,1600,3,ARM_AppleA8X_APL1012_LPDDR31600_3GB_montecarlocalcpi500000,500000,49218
