arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem-size,mem-type,mem_clock,num-cpus,arch1,PS,runtime
IntelCorei36167U_LPDDR31600_2GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,2,LPDDR3,1600,2,IntelCorei36167U_LPDDR31600_2GB_qcif,qcif,36393
IntelCorei36167U_LPDDR31600_3GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,3,LPDDR3,1600,2,IntelCorei36167U_LPDDR31600_3GB_qcif,qcif,36393
IntelCorei36167U_LPDDR31600_4GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,4,LPDDR3,1600,2,IntelCorei36167U_LPDDR31600_4GB_qcif,qcif,36393
IntelCorei36167U_LPDDR31600_6GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,6,LPDDR3,1600,2,IntelCorei36167U_LPDDR31600_6GB_qcif,qcif,36393
IntelCorei36167U_LPDDR31600_7GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,7,LPDDR3,1600,2,IntelCorei36167U_LPDDR31600_7GB_qcif,qcif,36393
IntelCorei36167U_DDR41866_2GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,2,DDR4,1866,2,IntelCorei36167U_DDR41866_2GB_qcif,qcif,37189
IntelCorei36167U_DDR41866_3GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,3,DDR4,1866,2,IntelCorei36167U_DDR41866_3GB_qcif,qcif,37189
IntelCorei36167U_DDR41866_4GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,4,DDR4,1866,2,IntelCorei36167U_DDR41866_4GB_qcif,qcif,37189
IntelCorei36167U_DDR41866_6GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,6,DDR4,1866,2,IntelCorei36167U_DDR41866_6GB_qcif,qcif,37189
IntelCorei36167U_DDR41866_7GB,2.7,X86_64,8,64,1,32,4,64,1,256,12,64,2,3,7,DDR4,1866,2,IntelCorei36167U_DDR41866_7GB_qcif,qcif,37189
AdvMicDevRyzen31200_DDR42666_2GB,3.1,X86_64,8,64,1,32,8,64,1,512,16,64,4,8,2,DDR4,2666,4,AdvMicDevRyzen31200_DDR42666_2GB_qcif,qcif,31812
AdvMicDevRyzen31200_DDR42666_3GB,3.1,X86_64,8,64,1,32,8,64,1,512,16,64,4,8,3,DDR4,2666,4,AdvMicDevRyzen31200_DDR42666_3GB_qcif,qcif,31812
